horizontal 4
vertical 7
length 28
loops 1
framedelay 0 10
framedelay 1 4
framedelay 2 6
framedelay 3 6
framedelay 4 4
framedelay 5 10
framedelay 6 10
framedelay 7 10
framedelay 8 10
framedelay 9 10
framedelay 10 10
framedelay 11 10
framedelay 12 10
framedelay 13 10
framedelay 14 10
framedelay 15 10
framedelay 16 10
framedelay 17 10
framedelay 18 10
framedelay 19 4
framedelay 20 6
framedelay 21 6
framedelay 22 4
framedelay 23 10
framedelay 24 10
framedelay 25 10
framedelay 26 10
framedelay 27 10
