horizontal 4
vertical 17
length 65
loops 1
blinkspeed 0 0
framedelay 0 4
framedelay 1 4
framedelay 2 4
framedelay 3 4
framedelay 4 6
framedelay 5 6
framedelay 6 6
framedelay 7 6
framedelay 8 6
framedelay 9 4
framedelay 10 4
framedelay 11 4
framedelay 12 4
framedelay 13 4
framedelay 14 4
framedelay 15 4
framedelay 16 4
framedelay 17 4
framedelay 18 4
framedelay 19 4
framedelay 20 4
framedelay 21 4
framedelay 22 4
framedelay 23 4
framedelay 24 4
framedelay 25 6
framedelay 26 6
framedelay 27 6
framedelay 28 6
framedelay 29 4
framedelay 30 4
framedelay 31 4
framedelay 32 6
framedelay 33 6
framedelay 34 6
framedelay 35 6
framedelay 36 4
framedelay 37 4
framedelay 38 4
framedelay 39 4
framedelay 40 4
framedelay 41 4
framedelay 42 4
framedelay 43 4
framedelay 44 4
framedelay 45 4
framedelay 46 4
framedelay 47 4
framedelay 48 4
framedelay 49 4
framedelay 50 4
framedelay 51 4
framedelay 52 4
framedelay 53 4
framedelay 54 4
framedelay 55 4
framedelay 56 4
framedelay 57 4
framedelay 58 4
framedelay 59 4
framedelay 60 4
framedelay 61 4
framedelay 62 4
framedelay 63 4
framedelay 64 4
