horizontal 4
vertical 21
length 81
loops 1
framedelay 0 3
framedelay 1 1
framedelay 2 3
framedelay 3 3
framedelay 4 3
framedelay 5 3
framedelay 6 3
framedelay 7 1
framedelay 8 3
framedelay 9 3
framedelay 10 3
framedelay 11 3
framedelay 12 3
framedelay 13 1
framedelay 14 3
framedelay 15 3
framedelay 16 3
framedelay 17 3
framedelay 18 3
framedelay 19 1
framedelay 20 3
framedelay 21 3
framedelay 22 3
framedelay 23 3
framedelay 24 3
framedelay 25 1
framedelay 26 3
framedelay 27 3
framedelay 28 3
framedelay 29 3
framedelay 30 3
framedelay 31 1
framedelay 32 3
framedelay 33 3
framedelay 34 3
framedelay 35 3
framedelay 36 3
framedelay 37 1
framedelay 38 1
framedelay 39 1
framedelay 40 1
framedelay 41 1
framedelay 42 1
framedelay 43 1
framedelay 44 3
framedelay 45 3
framedelay 46 1
framedelay 47 3
framedelay 48 3
framedelay 49 3
framedelay 50 3
framedelay 51 3
framedelay 52 1
framedelay 53 3
framedelay 54 3
framedelay 55 3
framedelay 56 3
framedelay 57 3
framedelay 58 1
framedelay 59 3
framedelay 60 3
framedelay 61 3
framedelay 62 3
framedelay 63 3
framedelay 64 1
framedelay 65 3
framedelay 66 3
framedelay 67 3
framedelay 68 3
framedelay 69 3
framedelay 70 1
framedelay 71 3
framedelay 72 3
framedelay 73 3
framedelay 74 3
framedelay 75 3
framedelay 76 1
framedelay 77 3
framedelay 78 3
framedelay 79 3
framedelay 80 3
